fact_prefix,target_true_str,type,target_new_str,irrelevant_word,prompt_c,prompt_nc0,prompt_nc1,p_correct_c,p_correct_nc0,p_correct_nc1,lo_correct_c,lo_correct_nc0,lo_correct_nc1,log_bf0,log_bf1
The Acropolis is in the country of,Greece,country,India,pizza,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word Greece.
<</SYS>>
The Acropolis is in the country of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word India.
<</SYS>>
The Acropolis is in the country of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word pizza.
<</SYS>>
The Acropolis is in the country of [/INST] ",0.0008417910988948778,0.6468750574519202,0.9882807246251535,-7.079136529975095,0.6053312260633037,4.434731837472702,-7.684467756038399,-11.513868367447797
The Iguazu Falls are in the country of,Argentina,country,Brazil,whale,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word Argentina.
<</SYS>>
The Iguazu Falls are in the country of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word Brazil.
<</SYS>>
The Iguazu Falls are in the country of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word whale.
<</SYS>>
The Iguazu Falls are in the country of [/INST] ",1.1015444313457004e-05,0.9986946333849038,0.9963467536503626,-11.416201225891223,6.639965127204795,5.608479160068581,-18.056166353096017,-17.024680385959805
Patrick Mahomes plays the sport of,football,sport,hockey,computer,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word football.
<</SYS>>
Patrick Mahomes plays the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word hockey.
<</SYS>>
Patrick Mahomes plays the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word computer.
<</SYS>>
Patrick Mahomes plays the sport of [/INST] ",0.010484980303703277,0.9894148120398524,0.9979048077784493,-4.547271158173286,4.537658007764427,6.166012587079408,-9.084929165937712,-10.713283745252694
Russell Wilson plays the sport of,football,sport,snowboarding,grass,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word football.
<</SYS>>
Russell Wilson plays the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word snowboarding.
<</SYS>>
Russell Wilson plays the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word grass.
<</SYS>>
Russell Wilson plays the sport of [/INST] ",0.011252776953569278,0.9994346479106672,0.9972451102318649,-4.475823772020526,7.477496341983876,5.891619157283232,-11.953320114004402,-10.367442929303758
The La Sagrada Familia is in the country of,Spain,country,Indonesia,sunset,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word Spain.
<</SYS>>
The La Sagrada Familia is in the country of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word Indonesia.
<</SYS>>
The La Sagrada Familia is in the country of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word sunset.
<</SYS>>
The La Sagrada Familia is in the country of [/INST] ",0.021611511510214905,0.9809323699785982,0.9908371336231462,-3.8126807056399232,3.940511383270533,4.683391122364468,-7.753192088910456,-8.496071828004391
Slash plays the,guitar,instrument,violin,sock,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word guitar.
<</SYS>>
Slash plays the [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word violin.
<</SYS>>
Slash plays the [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word sock.
<</SYS>>
Slash plays the [/INST] ",0.03736233719990601,0.22271848298536215,0.4194552030968589,-3.2490139119325567,-1.2498940316940619,-0.32501023388968553,-1.9991198802384949,-2.924003678042871
Mount Fuji is in the country of,Japan,country,Cambodia,pillow,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word Japan.
<</SYS>>
Mount Fuji is in the country of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word Cambodia.
<</SYS>>
Mount Fuji is in the country of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word pillow.
<</SYS>>
Mount Fuji is in the country of [/INST] ",0.30827142056649287,0.999901362750714,0.9999145365827011,-0.8082130219057367,9.223962943777236,9.367336674363095,-10.032175965682972,-10.175549696268831
John Densmore plays the,drums,instrument,saxophone,volcano,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word drums.
<</SYS>>
John Densmore plays the [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word saxophone.
<</SYS>>
John Densmore plays the [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word volcano.
<</SYS>>
John Densmore plays the [/INST] ",0.16588346710114446,0.04656125754341745,0.040014248124263505,-1.6150875838736407,-3.0193063658914268,-3.177682848760375,1.404218782017786,1.5625952648867345
The Dead Sea is in the country of,Jordan,country,England,river,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word Jordan.
<</SYS>>
The Dead Sea is in the country of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word England.
<</SYS>>
The Dead Sea is in the country of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word river.
<</SYS>>
The Dead Sea is in the country of [/INST] ",0.07582059737049801,0.8551930438142955,0.8488089095934728,-2.5005362226296675,1.7759257069364716,1.7252895478117407,-4.276461929566139,-4.225825770441408
Kobe Bryant played the sport of,basketball,sport,track,flower,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word basketball.
<</SYS>>
Kobe Bryant played the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word track.
<</SYS>>
Kobe Bryant played the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word flower.
<</SYS>>
Kobe Bryant played the sport of [/INST] ",0.8065335314663065,0.9993053770529166,0.9994423019079083,1.4276412650026478,7.271446517490603,7.491134941940833,-5.843805252487956,-6.063493676938185
